ImageID,Labels,Caption
0.jpg,0,woman in swim suit holding parasol on sunny day
1.jpg,0 18,a couple of men riding horses on top of a green field
4.jpg,7 2 6,a train coming to a stop on the tracks out side
6.jpg,4,a big airplane flying in the big blue sky
7.jpg,0 3,a man riding a motor bike across a forest
9.jpg,0 17 14,a skate park next to a body of water and green park
11.jpg,0,a man and woman cut into a big cake
13.jpg,0 2,people gathered outside in a big field on a cloudy day
15.jpg,0,a female in military uniform cutting a businessman's neck tie
17.jpg,2 4,a small airplane that is on a runway
20.jpg,0,the people are sampling wine at a wine tasting
22.jpg,0,beautiful women wearing bikinis frolicking on a sandy beach
26.jpg,0,a young boy playing soccer on a grassy field
27.jpg,0,a little girl holding wet broccoli in her hand
29.jpg,0,a man with a bushy beard and green tie
33.jpg,0,a tennis player in action on the court
36.jpg,0,a standing woman with a remote control in hand
37.jpg,0 5,a los angeles school bus parked in a parking lot
38.jpg,17,a dog stands next to a skateboard leaned up against a wall
40.jpg,0 3,man on dirt bike with a redheaded woman in his lap
43.jpg,2 4 5 7 9,an airplane sitting in the middle of a city
44.jpg,0 4,people gather around as a man gets into an old-time airplane
45.jpg,0,a man leaning over as she inspects a woman's shoes
53.jpg,0 6,a train with googly eyes sitting near a platform
54.jpg,18,a statue of a man on top of a horse
55.jpg,0,a sandy beach covered in white surfboards near the ocean
58.jpg,0 3,a person is riding a motorcycle down a country road
60.jpg,0 2,people are gathering near bright orange air balloons
63.jpg,0,a woman cuts a large cake that has a lit candle
65.jpg,0 17,a family is sitting down at a table to have cake
68.jpg,0 2 13,a black and white photograph of two men on side of the road
69.jpg,16,cat siamese looking sleeping on its side on a comforter
71.jpg,7 0 2,this is two men in cleats on the grass
73.jpg,0,a young man laying on the ground while wearing skis
75.jpg,0 4,a jet sits on display in during an air show
76.jpg,0,a man from the neck down with a suit and tie on
79.jpg,0 10,people built a dog house shaped sand castle
80.jpg,0,a girl is wearing a tie and a dress
84.jpg,0 2,man on cell phone standing on street corner in house slippers
85.jpg,0,a group of people walking next to a building with their suitcases
87.jpg,17,a dog sitting in a heart on a beach by ocean
88.jpg,9 0 1 2,some bicycle riders are crossing a street
90.jpg,16,an orange cat laying on a bed with a black comforter
91.jpg,6,a train station near a snowy mountain belt
94.jpg,0 4,many propeller plans and biplanes on display in a museum
95.jpg,0,a man performing a trick on a skateboard
97.jpg,16,a black and white cat laying on top of a colorful rug
100.jpg,15 8,an orange boat docked next to a platform
102.jpg,0,a guy playing with a frisbee outside during the daytime
104.jpg,0,a mustachioed man in football pads and helmet poses aggressively with a baseball bat in his hand
106.jpg,0 3 4,an airplane flying through the air over a motorcycle
108.jpg,0,a group of men standing around a counter in a kitchen
109.jpg,0,a large building with a clock and people nearby
